v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
214,"$2,069 ",chicago,chicago S,2010 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
215,"$4,400 ",chicago,chicago N,2005 toyota camry,excellent,4 cylinders,fwd,gas,123000,NA,full-size,automatic,sedan,0
216,"$7,500 ",chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,NA,silver,mid-size,automatic,sedan,0
217,"$3,900 ",chicago,chicago city,2004 Toyota Camry,good,4 cylinders,NA,gas,136559,black,NA,automatic,sedan,0
218,"$5,500 ",chicago,chicago S,2008 toyota camry hybrid,like new,4 cylinders,NA,gas,257000,black,NA,automatic,NA,0
219,"$4,500 ",chicago,chicago N,2002 toyota camry solara convertible,good,6 cylinders,NA,gas,103245,NA,NA,automatic,NA,0
220,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
221,"$4,400 ",chicago,chicago W,2004 toyota camry le 4dr sedan,excellent,4 cylinders,fwd,gas,105000,silver,mid-size,automatic,sedan,0
222,"$2,000 ",chicago,chicago S,1999 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
223,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
224,NA,chicago,chicago city,2010 Toyota Camry,excellent,NA,fwd,gas,140437,white,mid-size,automatic,sedan,1
225,"$2,950 ",chicago,chicago city,2004 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,167000,NA,NA,automatic,NA,0
226,"$4,500 ",chicago,chicago S,2007 toyota camry solara,excellent,4 cylinders,fwd,gas,159000,silver,NA,automatic,coupe,0
227,"$1,650 ",chicago,chicago city,2002 toyota camry solara,NA,6 cylinders,fwd,gas,160000,black,NA,automatic,NA,0
228,"$2,000 ",chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,202000,NA,full-size,automatic,sedan,0
229,"$15,630 ",chicago,chicago city,2016 TOYOTA CAMRY,NA,NA,fwd,gas,13152,NA,NA,automatic,sedan,1
230,"$2,500 ",chicago,chicago suburbs,2005 toyota camry,fair,6 cylinders,4wd,gas,228000,grey,full-size,automatic,sedan,0
231,"$1,500 ",chicago,chicago city,1998 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
232,"$3,600 ",chicago,chicago W,2004 toyota camry solara,good,6 cylinders,fwd,gas,168000,red,compact,automatic,coupe,0
233,"$7,200 ",chicago,chicago city,2009 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,113300,grey,mid-size,automatic,sedan,0
234,"$14,491 ",chicago,chicago W,2015 Toyota Camry,NA,4 cylinders,fwd,gas,49600,white,NA,automatic,sedan,1
235,"$3,700 ",chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,158000,grey,full-size,automatic,sedan,0
236,"$1,500 ",chicago,indiana NW,2004 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
237,"$7,000 ",chicago,chicago city,2013 toyota camry,excellent,4 cylinders,NA,gas,213000,white,compact,automatic,sedan,0
238,"$1,500 ",chicago,indiana NW,2001 toyota camry,fair,6 cylinders,fwd,gas,180000,NA,full-size,automatic,NA,0
239,"$2,400 ",chicago,chicago W,2000 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,166457,grey,mid-size,automatic,sedan,1
240,"$8,955 ",chicago,chicago suburbs,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,81388,white,mid-size,automatic,sedan,1
241,"$6,499 ",chicago,chicago suburbs,2009 Toyota Camry,NA,4 cylinders,fwd,gas,118068,black,mid-size,automatic,sedan,1
242,"$12,900 ",chicago,chicago W,2016 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,52482,black,mid-size,automatic,sedan,1
243,"$14,850 ",chicago,chicago city,2015 Toyota_ Camry_,excellent,other,NA,gas,35721,NA,NA,automatic,sedan,1
244,"$9,995 ",chicago,chicago city,2007 toyota camry le,excellent,4 cylinders,fwd,gas,NA,blue,mid-size,automatic,NA,1
245,"$2,250 ",chicago,chicago suburbs,2001 toyota camry,like new,NA,NA,gas,164000,NA,NA,automatic,NA,0
246,"$8,499 ",chicago,chicago N,2011 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,105,green,full-size,automatic,sedan,0
247,"$1,000 ",chicago,chicago suburbs,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,182420,NA,NA,automatic,sedan,0
248,"$6,300 ",chicago,chicago N,2011 toyota camry se 4dr sedan,excellent,4 cylinders,fwd,gas,156000,black,full-size,automatic,sedan,0
249,"$11,386 ",chicago,chicago suburbs,2012 Toyota Camry,NA,4 cylinders,fwd,gas,80504,silver,mid-size,automatic,sedan,1
250,"$13,906 ",chicago,chicago W,2015 Toyota Camry,NA,4 cylinders,fwd,gas,61448,black,mid-size,automatic,sedan,1
251,"$3,100 ",chicago,chicago city,2004 Toyota Camry,excellent,4 cylinders,NA,gas,130756,grey,NA,automatic,sedan,0
252,"$4,950 ",chicago,chicago S,2006 toyota camry solara convertible,excellent,6 cylinders,fwd,gas,140000,silver,mid-size,automatic,convertible,0
253,"$5,390 ",chicago,chicago W,2007 toyota camry le,excellent,4 cylinders,fwd,gas,145500,yellow,NA,automatic,sedan,0
255,"$1,800 ",chicago,chicago city,1998 toyota camry,good,NA,fwd,gas,NA,green,full-size,automatic,sedan,1
256,"$6,995 ",chicago,chicago suburbs,2009 Toyota Camry SE,good,4 cylinders,fwd,gas,124000,red,mid-size,automatic,sedan,0
257,$500 ,chicago,chicago city,2011 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
258,"$6,000 ",chicago,chicago city,2005 toyota camry le,good,4 cylinders,fwd,gas,121000,silver,full-size,automatic,sedan,0
259,"$6,500 ",chicago,chicago S,2011 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
260,"$13,995 ",chicago,chicago S,2014 toyota camry,excellent,4 cylinders,4wd,gas,39298,white,NA,automatic,sedan,1
261,"$2,800 ",chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,105000,silver,NA,automatic,sedan,0
262,$500 ,chicago,chicago city,2011 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
263,"$4,900 ",chicago,chicago city,2008 Toyota_ Camry_ Solara_,excellent,6 cylinders,fwd,gas,155386,black,sub-compact,automatic,convertible,1
265,"$6,490 ",chicago,chicago W,2007 Toyota Camry,excellent,4 cylinders,fwd,gas,115515,silver,mid-size,automatic,sedan,1
267,"$11,877 ",chicago,chicago W,2012 TOYOTA CAMRY HYBRID XLE,excellent,4 cylinders,fwd,hybrid,112707,white,mid-size,automatic,NA,1
268,"$12,500 ",chicago,chicago city,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,63000,silver,mid-size,automatic,sedan,1
269,"$5,500 ",chicago,chicago suburbs,2004 toyota camry,NA,NA,NA,gas,134333,NA,NA,automatic,sedan,1
270,"$5,300 ",chicago,chicago W,2002 Toyota Camry XLE,excellent,4 cylinders,fwd,gas,138000,silver,NA,automatic,sedan,0
271,"$9,300 ",chicago,chicago W,2011 toyota camry xle,excellent,6 cylinders,fwd,gas,90653,green,full-size,automatic,sedan,1
272,NA,chicago,chicago suburbs,2014 Toyota_ Camry_,excellent,other,fwd,gas,54294,NA,NA,automatic,sedan,1
273,"$10,500 ",chicago,chicago W,2013 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,62628,grey,mid-size,automatic,sedan,1
274,"$10,625 ",chicago,chicago city,2009 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,43702,grey,NA,automatic,sedan,1
275,"$6,000 ",chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,109000,black,full-size,automatic,sedan,0
276,"$12,000 ",chicago,chicago S,2013 toyota camry se,good,4 cylinders,NA,gas,76000,silver,NA,automatic,NA,0
277,"$3,499 ",chicago,chicago suburbs,2002 toyota camry,good,6 cylinders,fwd,gas,162000,red,NA,automatic,convertible,0
278,"$1,600 ",chicago,chicago city,1998 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
279,"$1,600 ",chicago,chicago city,1998 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
280,"$10,590 ",chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,75294,red,NA,automatic,NA,0
281,"$3,985 ",chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,101480,NA,NA,automatic,sedan,1
282,"$1,300 ",chicago,chicago W,1994 Toyota Camry,NA,NA,NA,gas,138000,NA,NA,automatic,NA,0
283,"$3,980 ",chicago,chicago S,2001 Toyota Camry,NA,NA,NA,gas,113159,NA,NA,automatic,NA,0
284,"$1,600 ",chicago,indiana NW,1998 1998 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
285,"$1,000 ",chicago,chicago suburbs,1999 toyota camry le,good,6 cylinders,NA,gas,163000,NA,NA,automatic,NA,0
286,"$3,030 ",chicago,chicago city,2010 toyota camry xle,excellent,6 cylinders,fwd,gas,NA,black,full-size,automatic,sedan,0
287,"$5,999 ",chicago,chicago city,2007 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
288,"$3,500 ",chicago,chicago N,2002 toyota camry le 4cyl,good,4 cylinders,fwd,gas,173906,blue,mid-size,automatic,sedan,0
289,"$1,500 ",chicago,chicago city,1998 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
290,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
291,"$2,799 ",chicago,chicago S,1999 TOYOTA CAMRY,NA,4 cylinders,NA,gas,139745,white,NA,automatic,sedan,1
292,"$2,900 ",chicago,chicago city,2010 toyota camry hybrid,NA,NA,NA,hybrid,300000,NA,NA,automatic,NA,0
294,"$2,071 ",chicago,chicago W,2010 TOYOTA CAMRY,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
295,"$1,999 ",chicago,chicago suburbs,2009 toyota camry hybrid,fair,4 cylinders,fwd,hybrid,230000,black,full-size,automatic,sedan,0
296,"$3,600 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,NA,gas,121000,grey,NA,automatic,sedan,0
297,"$5,999 ",chicago,chicago W,2009 toyota camry le,like new,4 cylinders,fwd,gas,132572,silver,full-size,automatic,sedan,1
299,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,NA,NA,automatic,sedan,1
300,"$3,900 ",chicago,chicago city,2002 2002 Toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
301,"$2,800 ",chicago,chicago S,2003 toyota camry,excellent,4 cylinders,fwd,gas,170000,grey,mid-size,automatic,NA,0
302,"$5,800 ",chicago,chicago W,2010 toyota camry le,excellent,4 cylinders,fwd,gas,144000,NA,NA,automatic,NA,0
303,"$3,300 ",chicago,chicago W,2004 Toyota Camry le,like new,4 cylinders,fwd,gas,127000,blue,mid-size,automatic,sedan,0
304,"$1,099 ",chicago,chicago N,2001 Toyota Camry,good,4 cylinders,fwd,gas,139000,silver,NA,automatic,NA,0
305,$500 ,chicago,chicago city,2011 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
306,"$13,995 ",chicago,chicago S,2014 toyota camry,excellent,4 cylinders,4wd,gas,39298,white,NA,automatic,sedan,1
307,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
308,"$2,499 ",chicago,chicago suburbs,2001 Toyota Camry.,good,4 cylinders,fwd,gas,115000,silver,full-size,automatic,sedan,0
309,"$7,999 ",chicago,chicago city,2010 TOYOTA CAMRY,NA,NA,fwd,gas,81400,blue,NA,automatic,sedan,1
310,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,NA,NA,automatic,sedan,1
311,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
312,$206 ,chicago,chicago city,2015 Toyota Camry BAD CREDIT OK,NA,4 cylinders,NA,gas,NA,grey,NA,automatic,sedan,1
313,NA,chicago,chicago suburbs,2007 Toyota_ Camry_,excellent,other,fwd,gas,89594,silver,NA,automatic,sedan,1
314,"$3,900 ",chicago,chicago city,2002 Toyota Camry LE Sedan,excellent,4 cylinders,fwd,gas,169435,grey,mid-size,automatic,sedan,0
315,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,green,NA,automatic,sedan,1
316,"$5,495 ",chicago,chicago N,2005 Toyota Camry,excellent,4 cylinders,fwd,gas,148987,red,mid-size,automatic,sedan,1
317,$1 ,chicago,chicago city,2006 toyota camry solara,NA,NA,NA,gas,152,NA,NA,automatic,NA,0
318,"$2,995 ",chicago,chicago S,2003 Toyota Camry LE,NA,NA,fwd,gas,165533,silver,NA,automatic,sedan,1
319,"$2,700 ",chicago,chicago city,2003 Toyota Camry,NA,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,0
320,"$5,249 ",chicago,chicago suburbs,1999 toyota camry,excellent,6 cylinders,NA,gas,114000,NA,NA,automatic,sedan,0
321,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
322,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,green,NA,automatic,sedan,1
323,"$12,995 ",chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,25929,black,NA,automatic,sedan,1
324,"$14,491 ",chicago,chicago W,2015 Toyota Camry,NA,4 cylinders,fwd,gas,49600,white,NA,automatic,sedan,1
325,"$3,000 ",chicago,chicago city,2002 toyota camry solara,excellent,6 cylinders,NA,gas,150000,blue,compact,automatic,coupe,0
326,"$16,257 ",chicago,chicago suburbs,2015 Toyota Camry,NA,4 cylinders,fwd,gas,15955,silver,mid-size,automatic,sedan,1
327,"$15,910 ",chicago,chicago city,2015 Toyota Camry,NA,4 cylinders,fwd,gas,31078,silver,NA,automatic,sedan,1
328,"$9,700 ",chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,64628,black,NA,automatic,sedan,1
329,NA,chicago,chicago suburbs,2007 Toyota_ Camry_,excellent,other,fwd,gas,89594,silver,NA,automatic,sedan,1
330,"$11,995 ",chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,71225,black,NA,automatic,sedan,1
331,"$14,991 ",chicago,chicago city,2014 Toyota Camry,NA,4 cylinders,fwd,gas,47536,silver,mid-size,automatic,sedan,1
332,"$15,966 ",chicago,chicago suburbs,2015 Toyota Camry,NA,4 cylinders,fwd,gas,16867,grey,mid-size,automatic,sedan,1
333,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
334,NA,chicago,chicago N,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,109567,black,mid-size,automatic,sedan,1
335,"$6,700 ",chicago,chicago suburbs,2007 Toyota Camry se,excellent,4 cylinders,fwd,gas,131000,silver,mid-size,automatic,sedan,0
336,"$9,700 ",chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,64628,black,NA,automatic,sedan,1
337,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
338,"$6,997 ",chicago,chicago suburbs,2008 Toyota Camry Hybrid,NA,4 cylinders,fwd,hybrid,136864,custom,mid-size,automatic,sedan,1
339,$985 ,chicago,chicago city,1995 toyota camry,like new,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,0
340,"$1,200 ",chicago,chicago city,1999 toyota camry,excellent,4 cylinders,NA,gas,253000,NA,full-size,automatic,NA,0
341,"$7,900 ",chicago,chicago N,2009 toyota camry,excellent,4 cylinders,fwd,gas,1180000,red,full-size,automatic,NA,0
342,"$6,500 ",chicago,chicago city,2007 Toyota Camry,good,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,0
343,"$16,489 ",chicago,chicago W,2014 toyota camry,like new,4 cylinders,fwd,gas,24691,grey,full-size,automatic,sedan,0
344,NA,chicago,chicago S,2016 Toyota Camry,excellent,4 cylinders,fwd,gas,44519,black,mid-size,automatic,sedan,1
346,"$3,950 ",chicago,chicago N,2007 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,182300,blue,mid-size,automatic,sedan,1
347,"$14,000 ",chicago,chicago city,2013 Toyota Camry,good,4 cylinders,NA,gas,50608,red,NA,automatic,NA,0
348,"$4,000 ",chicago,chicago W,2002 toyota camry le 4dr sedan,good,6 cylinders,fwd,gas,159282,red,NA,automatic,sedan,0
349,"$1,695 ",chicago,chicago W,2000 toyota camry le,good,4 cylinders,fwd,gas,183973,NA,NA,automatic,sedan,0
350,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
351,"$5,500 ",chicago,chicago suburbs,2004 toyota camry,NA,NA,NA,gas,134333,NA,NA,automatic,sedan,1
352,"$5,500 ",chicago,chicago S,2008 toyota camry hybrid,like new,4 cylinders,NA,gas,257000,black,NA,automatic,NA,0
353,$206 ,chicago,chicago city,2015 Toyota Camry BAD CREDIT OK,NA,4 cylinders,NA,gas,NA,grey,NA,automatic,sedan,1
354,$985 ,chicago,chicago city,1995 toyota camry,like new,NA,NA,gas,NA,NA,NA,automatic,NA,0
355,"$14,487 ",chicago,chicago suburbs,2014 Toyota Camry,excellent,6 cylinders,fwd,gas,49020,silver,NA,automatic,sedan,1
356,$1 ,chicago,chicago city,2006 toyota camry solara,NA,NA,NA,gas,152,NA,NA,automatic,NA,0
357,"$2,100 ",chicago,chicago city,1998 toyota camry,NA,4 cylinders,fwd,gas,NA,white,NA,automatic,NA,0
358,$500 ,chicago,chicago city,2011 toyota camry xle,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
359,"$14,388 ",chicago,chicago suburbs,2012 Toyota Camry,NA,4 cylinders,fwd,gas,57619,custom,mid-size,automatic,sedan,1
360,"$9,700 ",chicago,NA,2011 Toyota Camry,NA,4 cylinders,fwd,gas,64628,black,NA,automatic,sedan,1
361,"$14,590 ",chicago,chicago city,2016 Toyota Camry  LE    2016,new,4 cylinders,fwd,gas,48192,white,NA,automatic,NA,0
362,"$4,500 ",chicago,chicago N,2002 toyota camry solara convertible,good,6 cylinders,NA,gas,103245,NA,NA,automatic,NA,0
363,"$16,499 ",chicago,chicago city,2017 TOYOTA CAMRY,NA,NA,fwd,gas,29439,black,NA,automatic,sedan,1
364,"$6,300 ",chicago,chicago suburbs,2006 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,100000,white,mid-size,automatic,sedan,1
365,"$11,700 ",chicago,chicago suburbs,2014 Toyota Camry SE,good,4 cylinders,fwd,gas,43000,grey,NA,automatic,sedan,0
366,"$14,388 ",chicago,chicago N,2012 Toyota Camry,NA,4 cylinders,fwd,gas,57619,custom,mid-size,automatic,sedan,1
367,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
368,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
370,"$1,500 ",chicago,chicago city,1998 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
372,"$1,600 ",chicago,chicago city,2001 Toyota Camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
373,"$12,322 ",chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,60499,NA,NA,automatic,sedan,1
374,"$14,000 ",chicago,chicago S,2015 toyota camry le,good,4 cylinders,fwd,gas,60215,grey,NA,automatic,NA,0
375,"$10,900 ",chicago,chicago suburbs,2007 TOYOTA CAMRY SOLARA,NA,NA,fwd,other,83804,NA,NA,automatic,convertible,1
376,"$3,000 ",chicago,chicago city,2002 Toyota Camry,NA,4 cylinders,NA,gas,168400,NA,NA,automatic,NA,0
377,"$6,000 ",chicago,chicago city,2005 toyota camry le,good,4 cylinders,fwd,gas,121000,silver,full-size,automatic,sedan,0
378,"$7,499 ",chicago,chicago suburbs,2009 Toyota Camry,NA,4 cylinders,NA,gas,130400,red,NA,automatic,sedan,1
379,$206 ,chicago,chicago city,2015 Toyota Camry BAD CREDIT OK,NA,4 cylinders,NA,gas,NA,grey,NA,automatic,sedan,1
380,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,NA,NA,automatic,sedan,1
381,"$8,800 ",chicago,chicago suburbs,2005 toyota camry le,like new,4 cylinders,fwd,gas,64339,grey,mid-size,automatic,sedan,0
382,"$5,577 ",chicago,chicago W,2009 toyota camry hybrid,NA,NA,NA,gas,NA,NA,NA,automatic,NA,1
383,"$3,995 ",chicago,chicago city,2004 toyota camry,excellent,6 cylinders,fwd,gas,165,blue,mid-size,automatic,sedan,0
384,"$2,500 ",chicago,chicago N,2005 Toyota Camry V6,excellent,6 cylinders,fwd,gas,201200,silver,mid-size,automatic,sedan,1
385,"$4,500 ",chicago,chicago S,2007 toyota camry solara,excellent,4 cylinders,fwd,gas,159000,silver,NA,automatic,coupe,0
386,NA,chicago,chicago W,2011 Toyota Camry,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
387,"$16,489 ",chicago,chicago W,2014 toyota camry,like new,4 cylinders,fwd,gas,24691,grey,full-size,automatic,sedan,0
388,"$4,800 ",chicago,chicago suburbs,2007 Toyota Camry,NA,4 cylinders,fwd,gas,179758,silver,NA,automatic,sedan,1
389,"$9,995 ",chicago,chicago city,2007 toyota camry le,excellent,4 cylinders,fwd,gas,NA,blue,mid-size,automatic,NA,1
390,"$2,995 ",chicago,chicago W,2001 TOYOTA CAMRY,NA,NA,fwd,other,155447,green,NA,automatic,sedan,1
391,NA,chicago,chicago N,2007 Toyota Camry,excellent,6 cylinders,fwd,gas,97905,NA,mid-size,automatic,sedan,1
392,"$6,995 ",chicago,chicago suburbs,2009 Toyota Camry SE,good,4 cylinders,fwd,gas,124000,red,mid-size,automatic,sedan,0
393,"$7,700 ",chicago,chicago city,2008 Toyota camry,NA,NA,NA,gas,85000,NA,NA,automatic,NA,0
394,"$8,995 ",chicago,chicago suburbs,2011 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,100000,grey,mid-size,automatic,sedan,1
395,"$14,990 ",chicago,chicago W,2015 Toyota Camry,NA,4 cylinders,fwd,gas,55396,black,NA,automatic,sedan,1
396,$985 ,chicago,chicago city,1995 toyota camry,like new,NA,NA,gas,NA,NA,NA,automatic,NA,0
397,"$18,495 ",chicago,chicago S,2017 toyota camry,excellent,4 cylinders,4wd,gas,2319,NA,NA,automatic,sedan,1
398,"$12,500 ",chicago,chicago suburbs,2006 TOYOTA CAMRY SE,good,4 cylinders,fwd,gas,84304,silver,full-size,automatic,sedan,1
399,"$1,600 ",chicago,chicago city,2001 toyota camry le,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
400,"$1,999 ",chicago,chicago city,1999 toyota camry solara,good,6 cylinders,fwd,gas,113,white,compact,manual,coupe,0
401,"$2,500 ",chicago,chicago city,2004 toyota camry solara,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
402,"$10,695 ",chicago,chicago city,2011 toyota camry le,NA,NA,fwd,gas,60154,NA,NA,automatic,NA,0
403,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
404,"$3,999 ",chicago,chicago suburbs,2006 TOYOTA CAMRY LE,NA,4 cylinders,NA,gas,141550,red,NA,automatic,sedan,1
405,"$4,500 ",chicago,chicago N,2007 toyota camry,good,NA,NA,hybrid,NA,NA,NA,automatic,NA,0
406,"$4,500 ",chicago,chicago N,2005 toyota camry le,NA,NA,NA,gas,95000,NA,NA,automatic,NA,0
407,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
408,"$16,950 ",chicago,chicago N,2015 toyota camry hybrid,excellent,4 cylinders,fwd,gas,46681,blue,NA,automatic,sedan,0
409,"$4,995 ",chicago,chicago S,2009 Toyota Camry,NA,NA,fwd,gas,145777,silver,NA,automatic,sedan,1
410,"$6,300 ",chicago,chicago suburbs,2006 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,100000,white,mid-size,automatic,sedan,1
411,"$8,995 ",chicago,chicago suburbs,2011 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,99999,grey,mid-size,automatic,sedan,1
412,"$11,988 ",chicago,chicago city,2013 TOYOTA CAMRY,NA,NA,fwd,gas,67513,black,NA,automatic,sedan,1
413,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
414,"$2,100 ",chicago,NA,2003 Toyota Camry,NA,4 cylinders,fwd,gas,0,green,NA,automatic,sedan,1
415,"$1,650 ",chicago,chicago city,1999 toyota camry le,good,4 cylinders,fwd,gas,164300,NA,NA,automatic,sedan,0
416,"$3,590 ",chicago,chicago W,2002 toyota camry,good,6 cylinders,fwd,gas,128000,brown,full-size,automatic,sedan,0
417,"$8,980 ",chicago,chicago suburbs,2006 Toyota_ Camry_,excellent,4 cylinders,fwd,gas,38000,grey,mid-size,automatic,sedan,1
418,"$3,990 ",chicago,chicago city,2002 toyota camry le,like new,6 cylinders,fwd,gas,141000,black,mid-size,automatic,sedan,1
419,"$10,988 ",chicago,chicago city,2012 TOYOTA CAMRY,NA,NA,fwd,gas,77938,blue,NA,automatic,sedan,1
420,NA,chicago,chicago suburbs,2011 Toyota Camry BAD CREDIT,like new,4 cylinders,NA,gas,NA,NA,NA,automatic,NA,1
421,"$12,995 ",chicago,chicago city,2015 TOYOTA CAMRY,NA,NA,fwd,gas,25929,black,NA,automatic,sedan,1
422,"$11,900 ",chicago,NA,2014 Toyota Camry,NA,4 cylinders,fwd,gas,67393,red,NA,automatic,sedan,1
423,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
424,$985 ,chicago,chicago city,1995 toyota camry,like new,NA,NA,gas,NA,NA,NA,automatic,NA,0
425,NA,chicago,chicago N,2008 Toyota Camry,excellent,4 cylinders,fwd,gas,72654,grey,mid-size,automatic,sedan,1
426,"$5,249 ",chicago,chicago suburbs,1999 toyota camry,excellent,6 cylinders,NA,gas,114000,NA,NA,automatic,sedan,0
427,NA,chicago,chicago suburbs,2007 Toyota_ Camry_,excellent,other,fwd,gas,89594,silver,NA,automatic,sedan,1
428,$500 ,chicago,chicago city,2014 TOYOTA CAMRY LE 2.4,excellent,6 cylinders,fwd,gas,NA,black,mid-size,automatic,truck,1
429,"$1,000 ",chicago,chicago city,1997 toyota camry xle,NA,4 cylinders,fwd,gas,240000,blue,NA,automatic,NA,0
430,"$6,950 ",chicago,chicago suburbs,2007 toyota camry hybrid,excellent,4 cylinders,fwd,hybrid,139987,blue,full-size,automatic,sedan,0
431,"$11,500 ",chicago,chicago S,2012 toyota camry se,like new,4 cylinders,NA,gas,113000,black,NA,automatic,NA,0
432,NA,chicago,chicago city,2007 TOYOTA CAMRY,NA,NA,fwd,other,NA,green,NA,automatic,sedan,1
433,$800 ,chicago,chicago N,1998 toyota camry,good,4 cylinders,fwd,gas,220000,NA,mid-size,automatic,NA,0
