v1,price,area,subarea,name,condition,cylinders,drive,fuel,odometer,paintcolor,size,transmission,type,dealer
52,"$2,000 ",chicago,chicago suburbs,2000 toyota camry,good,4 cylinders,fwd,gas,202000,NA,full-size,automatic,sedan,0
53,"$2,250 ",chicago,chicago suburbs,2001 toyota camry,like new,NA,NA,gas,164000,NA,NA,automatic,NA,0
54,"$2,500 ",chicago,chicago suburbs,2006 Toyota Camry Solara,good,4 cylinders,fwd,gas,185000,blue,mid-size,automatic,coupe,0
55,"$7,400 ",chicago,chicago suburbs,2008 toyota camry hybrid,NA,NA,NA,gas,104841,NA,NA,automatic,NA,0
56,"$7,500 ",chicago,chicago suburbs,2010 toyota camry le,excellent,4 cylinders,fwd,gas,NA,silver,mid-size,automatic,sedan,0
57,"$10,590 ",chicago,chicago suburbs,2012 TOYOTA CAMRY,good,4 cylinders,fwd,gas,75294,red,NA,automatic,NA,0
58,"$2,800 ",chicago,chicago suburbs,2002 toyota camry Le,excellent,4 cylinders,fwd,gas,105000,silver,NA,automatic,sedan,0
59,"$2,800 ",chicago,chicago suburbs,2002 toyota camry,excellent,4 cylinders,fwd,gas,105000,silver,NA,automatic,NA,0
60,"$1,000 ",chicago,chicago suburbs,1995 Toyota Camry LE,fair,4 cylinders,fwd,gas,182420,NA,NA,automatic,sedan,0
61,$600 ,chicago,chicago suburbs,1997 toyota camry le,fair,4 cylinders,fwd,gas,177000,grey,NA,automatic,sedan,0
62,"$1,850 ",chicago,chicago suburbs,1998 Toyota Camry LX,excellent,6 cylinders,fwd,gas,158800,brown,compact,automatic,sedan,0
63,"$1,850 ",chicago,chicago suburbs,1998 Toyota Camry LX,good,6 cylinders,fwd,gas,158800,brown,compact,automatic,sedan,0
64,"$6,500 ",chicago,chicago suburbs,2008 toyota camry le,excellent,4 cylinders,rwd,gas,109000,black,full-size,automatic,sedan,0
65,"$2,400 ",chicago,indiana NW,2005 Toyota Camry XLE,good,6 cylinders,fwd,gas,165000,silver,mid-size,automatic,NA,0
66,"$3,950 ",chicago,indiana NW,2005 toyota camry le,good,4 cylinders,fwd,gas,158000,grey,full-size,automatic,sedan,0
67,"$3,985 ",chicago,chicago S,1997 toyota camry,excellent,6 cylinders,4wd,gas,101480,NA,NA,automatic,sedan,1
68,NA,chicago,chicago S,2011 Toyota Camry,excellent,4 cylinders,fwd,gas,NA,green,mid-size,automatic,sedan,1
70,"$2,000 ",chicago,chicago S,1999 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
71,"$1,400 ",chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,167000,black,compact,automatic,sedan,0
72,"$1,400 ",chicago,chicago S,2000 toyota camry xle,excellent,6 cylinders,fwd,gas,167000,black,compact,automatic,sedan,0
73,"$3,980 ",chicago,chicago S,2001 Toyota Camry,NA,NA,NA,gas,113159,NA,NA,automatic,NA,0
74,"$5,900 ",chicago,chicago S,2009 toyota camry hybrid,good,NA,fwd,gas,207000,blue,full-size,other,sedan,0
75,"$6,500 ",chicago,chicago S,2011 toyota camry,NA,NA,NA,gas,NA,NA,NA,automatic,NA,0
76,"$8,900 ",chicago,chicago S,2008 toyota camry,NA,NA,NA,gas,NA,red,NA,automatic,NA,0
